RecID,Name,Date,RaceNumber,Surface,Dist,Post,PPCt,NLA,Wgt,LastSpdRtg,BestSpdRtg,AverageSpdRtg,MedianSpdRtg,LastBrisSpdRtg,BestBrisSpdRtg,AverageBrisSpdRtg,MedianBrisSpdRtg,BestLifeSpd,BestYearSpd,BestTrkSpd,WagerPost,Spd2F,Spd4F,SpdLate,Purse,Starts,Wins,Places,Shows,Earnings,Class,JStarts,JWins,JPlaces,JShows,TStarts,TWins,TPlaces,TShows,LastFinishPos,LastBtnLns,LastDist,LastPurse,Finish2ndLastPos,Last2ndBtnLns,Last2ndDist,Last2ndPurse,FldSz,ML,FinishPos,BtnLns,AvgLast3,Exacta,TriFecta,NLANorm,WgtNorm,LastSpdRtgNorm,BestSpdRtgNorm,AverageSpdRtgNorm,MedianSpdRtgNorm,LastBrisSpdRtgNorm,BestBrisSpdRtgNorm,AverageBrisSpdRtgNorm,MedianBrisSpdRtgNorm,BestLifeSpdNorm,BestYearSpdNorm,BestTrkSpdNorm,WagerPostNorm,Spd2FNorm,Spd4FNorm,SpdLateNorm,MLNorm,FinishPosNorm,LowestSpdRtg,LastFldSz,SecondFldSz,ThirdFldSz,ThirdFinPos,FourthFldSz,FourthFinPos,ThirdPurse,FourthPurse,LastRaceDate,Last2ndRaceDate,Checked,Normalized,WinnersTime,ActualTime,MLRank,Trainer,Jockey,JockeyNorm,TrainerNorm,ActualFinish,ActualBtnLns,ActualOdds,ActualPurse
218670,Shanghai Candy,5/19/2023,1,D,5610,1,10,111,120,81,81,80.33,71,83,78,75.8,75,83,83,83,1,15,64,90,28000,24,7,3,9,43786,2880,538,44,59,63,162,28,24,31,3,4,5490,28000,3,5,5280,13100,0,6,0,0,0,0,0,0,0,0.892857143,0.583333333,0.905031892,0.6875,0.9,0.897435897,1,0.9375,0,0,0.75,0,0.428571429,0,1,0.5,0,66,6,8,6,3,7,3,24000,24000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218671,Ouch Ouch Ouch,5/19/2023,1,D,5610,2,10,116,120,65,74,67.56,38,65,70,71.8,60,88,88,74,2,18,86,70,28000,30,2,8,4,26420,3332,523,66,70,71,313,53,52,45,7,18.25,4620,27000,10,25,4620,27000,0,6,0,0,0,0,0,0.714285714,0,0.321428571,0,0,0,0,0.692307692,0.642857143,0,1,1,0,0,0.642857143,0.956521739,0.310344828,0.5,0,38,7,10,8,4,6,2,28000,28000,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218672,Egot A Poker Face,5/19/2023,1,D,5610,3,10,118,124,84,84,73.44,59,85,43,66.4,66,85,85,85,3,23,87,66,28000,11,4,0,2,53724,4740,1024,219,185,145,577,86,91,78,1,0,5490,31600,3,10,3960,31600,0,2,0,0,0,0,0,1,1,1,0.833333333,0.416725726,0.4375,1,0,0.160714286,0.375,0.4,0.4,0.916666667,0,1,1,0.172413793,0,0,38,8,8,7,4,5,4,31600,31600,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218673,Once A Giant,5/19/2023,1,D,5610,4,9,113,120,77,86,76.38,86,84,74,74.78,76,85,84,84,4,22,75,81,28000,15,5,6,3,29848,3976,977,186,163,172,2,0,2,0,2,1,5610,16400,2,1,5490,16400,0,3,0,0,0,0,0,0.285714286,0,0.75,1,0.62508859,1,0.95,0.794871795,0.908928571,1,0.4,0.2,0.833333333,0,0.928571429,0.47826087,0.689655172,0.125,0,0,4,6,10,1,8,1,11800,10800,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218674,Uncle Yudi,5/19/2023,1,D,5610,5,10,111,120,56,86,81.67,72,65,82,73.1,67,86,86,86,5,9,71,80,28000,19,6,1,7,32660,4378,660,112,92,81,139,8,15,18,5,18,5610,31600,7,20,5490,31600,0,10,0,0,0,0,0,0,0,0,1,1,0.708333333,0,1,0.758928571,0.4375,0.6,0.6,1,0,0,0.304347826,0.655172414,1,0,56,6,8,5,1,6,3,18100,18100,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218675,Fifty Sheas Ofgrey,5/19/2023,1,D,5610,6,10,114,120,82,82,70,74,85,64,64.6,69,85,85,85,6,15,84,61,28000,33,3,4,4,12884,2860,614,119,129,92,459,121,99,71,2,2.5,5490,28000,5,16,5490,18100,0,2.5,0,0,0,0,0,0.428571429,0,0.928571429,0.666666667,0.172927002,0.75,1,0.538461538,0,0.5625,0.4,0.4,0.916666667,0,0.428571429,0.869565217,0,0.0625,0,37,6,6,5,4,7,4,11800,11800,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218676,Sharp Catch,5/19/2023,2,T,3300,1,7,99,117,71,71,32.33,59,68,40,52.33,40,68,68,71,1,70,83,56,31600,7,4,2,0,21851,3345,660,112,92,81,50,9,11,4,1,0,3960,14400,6,20,3960,28000,0,5,0,0,0,0,0,0.566666667,0.7,0.5,0,0,0.603773585,0.794871795,0,0,0.309090909,0.071428571,0.704545455,0.5,0,0.183870968,0.727272727,0.172413793,0.263157895,0,0,6,8,7,5,8,7,28000,13500,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218677,Good Source,5/19/2023,2,T,3300,2,2,109,117,62,78,140,78,43,78,60.5,78,78,78,78,2,235,89,58,31600,2,2,0,0,37200,18125,753,175,138,140,56,6,9,7,6,13.25,4290,60000,1,0,3630,60000,0,4.5,0,0,0,0,0,0.9,0.7,0.25,0.388888889,1,0.962264151,0.153846154,1,0.52137843,1,0.785714286,0.931818182,0.9375,0,0.716129032,1,0.24137931,0.210526316,0,0,6,10,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218678,Early Frost,5/19/2023,2,T,3300,3,10,112,120,78,83,79,27,74,63,66.8,23,81,81,63,3,13,78,68,31600,29,7,7,5,44120,3587,523,66,70,71,67,5,8,9,3,11.25,5490,28000,2,0,3960,20000,0,4,0,0,0,0,0,1,1,0.694444444,0.666666667,0.433454073,0,0.948717949,0.605263158,0.923420549,0,1,1,0,0,0,0.5,0.586206897,0.157894737,0,27,6,10,7,4,8,1,20000,31600,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218679,Color Force,5/19/2023,2,T,3300,4,10,93,120,89,89,72,63,76,70,64.9,56,76,76,76,4,323,71,71,31600,34,8,6,7,24544,2217,526,70,79,93,143,39,29,19,1,0,3300,15400,5,13,5610,13100,0,2.5,0,0,0,0,0,0.366666667,1,1,1,0.368440606,0.679245283,1,0.789473684,0.802169751,0.6,0.642857143,0.886363636,0.8125,0,1,0.181818182,0.689655172,0,0,0,7,6,6,1,4,2,10000,10800,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218680,Surprisingly Sweet,5/19/2023,2,T,3300,5,2,93,120,61,79,140,79,63,73,68,73,73,73,79,5,142,80,80,31600,2,2,0,0,11420,7059,659,100,90,94,48,6,6,6,8,14,5490,28000,1,0,3960,18100,0,6,0,0,0,0,0,0.366666667,1,0.222222222,0.444444444,1,0.981132075,0.666666667,0.868421053,1,0.909090909,0.428571429,0.818181818,1,0,0.416129032,0.590909091,1,0.368421053,0,0,9,8,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218681,Laugh It Off,5/19/2023,2,T,3300,6,10,97,110,55,84,76.89,80,64,61,65.8,70,73,69,68,6,30,67,76,31600,29,6,6,8,24292,2306,17,2,2,1,143,39,29,19,4,8.75,5490,11800,1,0,5610,10000,0,8,0,0,0,0,0,0.5,0,0.055555556,0.722222222,0.413857156,1,0.692307692,0.552631579,0.85960434,0.854545455,0.428571429,0.727272727,0.3125,0,0.05483871,0,0.862068966,0.578947368,0,55,9,6,7,6,8,3,10800,13600,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
218682,Glossy Madrina,5/19/2023,2,T,3300,7,10,89,120,73,74,75.11,63,66,64,59.5,55,74,66,74,7,22,74,71,31600,33,6,8,2,16356,2255,523,66,70,71,165,17,19,30,1,0,3960,10000,6,14,3960,10800,0,10,0,0,0,0,0,0.233333333,1,0.555555556,0.166666667,0.39732516,0.679245283,0.743589744,0.631578947,0.457562221,0.581818182,0.5,0.659090909,0.6875,0,0.029032258,0.318181818,0.689655172,0.789473684,0,58,6,6,8,6,8,6,11800,11800,NULL,NULL,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0
